nom,categorie,description,adresse,commune,lat,lon,tarif,tarif_detail,age_min,age_max,lieu,horaires,site,telephone
Parc des Bastions,Parcs & places de jeux,"Grand parc central avec place de jeux, jeu d'échecs géant et allée de marronniers. Idéal pour une pause au centre-ville.",Promenade des Bastions 1,Genève,46.1990,6.1440,gratuit,,0,12,exterieur,Ouvert en permanence,https://www.geneve.ch,
Parc La Grange,Parcs & places de jeux,"Le plus grand parc de la ville : roseraie, grande place de jeux, théâtre de verdure et vue sur le lac.",Quai Gustave-Ador 132,Genève,46.2075,6.1652,gratuit,,0,12,exterieur,"Été 7h-22h, hiver 8h-18h",https://www.geneve.ch,
Jardin Botanique,Nature & animaux,"Serres tropicales, parc animalier avec biches et oiseaux, aire de jeux ombragée. Très accessible en poussette.",Chemin de l'Impératrice 1,Chambésy,46.2278,6.1440,gratuit,,0,10,les_deux,"Tous les jours 8h-19h30 (été), 9h30-17h (hiver)",https://www.cjb-geneve.ch,+41 22 418 51 00
Bains des Pâquis,Piscines & baignade,"Baignade dans le lac, pataugeoire pour les petits, buvette. Ambiance genevoise incontournable.",Quai du Mont-Blanc 30,Genève,46.2110,6.1520,payant,"2.- adulte, gratuit -12 ans",0,12,exterieur,Tous les jours 9h-20h30 en saison,https://www.bains-des-paquis.ch,+41 22 732 29 74
Muséum d'histoire naturelle,Musées & culture,"Animaux naturalisés, dinosaures et espace tactile. Un classique qui fascine dès 2-3 ans.",Route de Malagnou 1,Genève,46.2005,6.1560,gratuit,Collections permanentes gratuites,2,12,interieur,Mardi-dimanche 10h-17h,https://www.museum-geneve.ch,+41 22 418 63 00
Musée d'ethnographie (MEG),Musées & culture,"Ateliers famille le week-end et espaces de découverte adaptés aux enfants.",Boulevard Carl-Vogt 65,Genève,46.1963,6.1362,mixte,"Permanente gratuite, expo temporaire payante",4,12,interieur,Mardi-dimanche 11h-18h,https://www.meg.ch,+41 22 418 45 50
Bibliothèque de la Cité,Bibliothèques & ludothèques,"Espace jeunesse avec coin lecture pour tout-petits, heure du conte régulière.",Place des Trois-Perdrix 5,Genève,46.2015,6.1440,gratuit,Inscription gratuite,0,12,interieur,Mardi-vendredi 10h-19h ; samedi 10h-17h,https://institutions.ville-geneve.ch/fr/bm,+41 22 418 32 22
Parc Bertrand,Parcs & places de jeux,"Grande pelouse, place de jeux récente avec structures pour les tout-petits et pataugeoire l'été.",Chemin Rieu,Genève,46.1927,6.1466,gratuit,,0,10,exterieur,Ouvert en permanence,https://www.geneve.ch,
Bois de la Bâtie,Nature & animaux,"Parc animalier gratuit (chèvres, daims, oiseaux) au cœur d'une forêt urbaine avec places de jeux.",Chemin de la Bâtie,Genève,46.1930,6.1250,gratuit,,0,12,exterieur,Ouvert en permanence,https://www.geneve.ch,
Patinoire des Vernets,Sport & mouvement,"Patinoire couverte, sessions publiques et location de patins dès la petite pointure.",Rue Hans-Wilsdorf 4,Genève,46.1902,6.1290,payant,"Env. 5.- enfant + location patins",4,12,interieur,Horaires publics variables selon la saison,https://www.geneve.ch,+41 22 418 40 00
Parc des Eaux-Vives,Parcs & places de jeux,"Parc arboré descendant vers le lac, place de jeux et grande pelouse pour pique-niquer.",Quai Gustave-Ador 82,Genève,46.2101,6.1697,gratuit,,0,12,exterieur,Ouvert en permanence,https://www.geneve.ch,
Piscine de Varembé,Piscines & baignade,"Bassin extérieur l'été et pataugeoire peu profonde, très fréquentée par les familles.",Avenue Giuseppe-Motta 42,Genève,46.2233,6.1372,payant,"3.- adulte, 1.50 enfant",0,12,les_deux,Ouvert de mai à septembre,https://www.geneve.ch,+41 22 418 40 50
Maison de la créativité,Ateliers & jeux couverts,"Espace de jeu libre et ateliers créatifs pensés pour les 0-6 ans accompagnés d'un adulte.",Chemin Calandrini 9,Conches,46.1817,6.1706,payant,Tarif à la séance,0,6,interieur,Selon programme,https://www.maisondelacreativite.ch,
Ludothèque de Genève,Bibliothèques & ludothèques,"Prêt de jeux et jouets, espace de jeu sur place pour les petits.",Rue de Carouge 27,Genève,46.1948,6.1400,payant,Abonnement annuel familial,1,12,interieur,Mercredi et samedi après-midi,https://www.ludotheque-geneve.ch,
